"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 25 10:08:45 GMT 2024","Thu Jul 25 10:08:45 GMT 2024","45","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Register Derivative IP Asset with License Tokens and Royalty Related Process","","","Captue snapshot",""
"passed","Thu Jul 25 10:08:46 GMT 2024","Thu Jul 25 10:08:47 GMT 2024","1446","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Register Derivative IP Asset without License Tokens > Non-commerical social remixing PIL","","","Register derivative with non-commercial social remixing PIL, parent IP is an IN_DISPUTE IP asset",""
"passed","Thu Jul 25 10:08:45 GMT 2024","Thu Jul 25 10:08:45 GMT 2024","73","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Register Derivative IP Asset with License Tokens and Royalty Related Process","","","Pay royalty on behalf",""
"passed","Thu Jul 25 10:08:08 GMT 2024","Thu Jul 25 10:08:08 GMT 2024","59","","","","","","Register Commercial Use License Terms",""
"passed","Thu Jul 25 10:08:30 GMT 2024","Thu Jul 25 10:08:30 GMT 2024","70","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Attach License Terms to IN_DISPUTE IP Asset","","","Attach commercial use PIL to IN_DISPUTE IP asset",""
"passed","Thu Jul 25 10:08:13 GMT 2024","Thu Jul 25 10:08:19 GMT 2024","6622","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Wallet A mint a license token with the receiverAddress set as Wallet B, get a licenseTokenId (licenseTokenIdA)",""
"passed","Thu Jul 25 10:08:08 GMT 2024","Thu Jul 25 10:08:08 GMT 2024","263","","","","","","Register Non-Commercial Social Remixing License Terms",""
"passed","Thu Jul 25 10:08:34 GMT 2024","Thu Jul 25 10:08:38 GMT 2024","4021","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Mint License Tokens for IN_DISPUTE IP asset","","","Mint license tokens with commercial use PIL for IN_DISPUTE IP asset",""
"passed","Thu Jul 25 10:08:42 GMT 2024","Thu Jul 25 10:08:45 GMT 2024","2510","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Register Derivative IP Asset with License Tokens and Royalty Related Process","","","Register derivative with license tokens attached commercial remix PIL, parent IP is an IN_DISPUTE IP asset",""
"passed","Thu Jul 25 10:08:20 GMT 2024","Thu Jul 25 10:08:22 GMT 2024","2514","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Wallet B can register a derivative IP asset with licenseTokenIdA",""
"passed","Thu Jul 25 10:08:38 GMT 2024","Thu Jul 25 10:08:42 GMT 2024","3785","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Mint License Tokens for IN_DISPUTE IP asset","","","Mint license tokens with commericial remix PIL for IN_DISPUTE IP asset",""
"passed","Thu Jul 25 10:08:29 GMT 2024","Thu Jul 25 10:08:30 GMT 2024","1177","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Attach License Terms to IN_DISPUTE IP Asset","","","Attach non-commerical social remixing PIL to IN_DISPUTE IP asset",""
"passed","Thu Jul 25 10:08:19 GMT 2024","Thu Jul 25 10:08:20 GMT 2024","199","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Mint a NFT to Wallet B and get a tokenId (tokenIdB)",""
"passed","Thu Jul 25 10:08:10 GMT 2024","Thu Jul 25 10:08:13 GMT 2024","2604","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Wallet A attach comRemixLicenseTermsId1(commercial remix PIL) to ipIdA",""
"passed","Thu Jul 25 10:08:30 GMT 2024","Thu Jul 25 10:08:34 GMT 2024","3801","SDK E2E Test - Dispute Module","IP Asset is IN_DISPUTE","Mint License Tokens for IN_DISPUTE IP asset","","","Mint license tokens with non-commerical social remixing PIL for IN_DISPUTE IP asset",""
"passed","Thu Jul 25 10:08:08 GMT 2024","Thu Jul 25 10:08:08 GMT 2024","48","","","","","","Register Commercial Remix License Terms",""
"passed","Thu Jul 25 10:08:10 GMT 2024","Thu Jul 25 10:08:10 GMT 2024","505","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Wallet A register an IP Asset with tokenIdA and get an ipId (ipIdA)",""
"passed","Thu Jul 25 10:08:08 GMT 2024","Thu Jul 25 10:08:10 GMT 2024","1325","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Mint a NFT to Wallet A and get a tokenId (tokenIdA)",""
"passed","Thu Jul 25 10:08:24 GMT 2024","Thu Jul 25 10:08:25 GMT 2024","1503","SDK E2E Test - Register Derivative IP Asset with Commercial Remix PIL","@smoke Register a derivative IP asset with/without license tokens","","","","Wallet C can register a derivative IP asset without licenseTokenId",""
